First Name,Last Name,Political Party,Start Year,End Year,Assassinated,Birth State,Serve in Military,presidency number,Age at Start of presidency,Served in Congress,Served in the House of Representatives,Served in the Senate,Former State Governors,Attended Ivy League School,Died in Office,Serve as Vice President,Years in Office,Nobel Prize Winner,Impeached,Won without Popular Vote,Cold War President,Appears on Currency,Won Re-election,Born Before 1800,Born 1800 - 1900,Appears on Mount Rushmore,Born 1900-2000,Met Queen Elizabeth II,Has Facial Hair,Height,College Degree,Weight,Unmarried in office,Serve as Secretary of State,No biological children,Foundng father,Portrait url
George,Washington,None,1789,1797,No,Virginia,Yes,1,57,No,No,No,No,No,No,No,7,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,73.5,No,175,No,No,Yes,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington_%283x4_cropped%29.jpg/1024px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington_%283x4_cropped%29.jpg
John,Adams,Federalist,1797,1801,No,Massachusetts,No,2,61,No,No,No,No,Yes,No,Yes,4,No,No,No,No,No,No,Yes,No,No,No,No,No,67,Yes,150,No,No,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/John_Adams_A18236_%28cropped%29.jpg/1024px-John_Adams_A18236_%28cropped%29.jpg
Thomas,Jefferson,Democratic-Republican,1801,1809,No,Virginia,Yes,3,57,No,No,No,Yes,No,No,Yes,8,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,74.5,Yes,174,Yes,Yes,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29_%283x4_cropped%29.jpg/1024px-Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29_%283x4_cropped%29.jpg
James,Madison,Democratic-Republican,1809,1817,No,Virginia,Yes,4,57,Yes,Yes,No,No,Yes,No,No,8,No,No,No,No,No,Yes,Yes,No,No,No,No,No,64,Yes,100,No,Yes,Yes,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/James_Madison_Portrait_1816_%283x4_cropped%29.jpg/1024px-James_Madison_Portrait_1816_%283x4_cropped%29.jpg
James,Monroe,Democratic-Republican,1817,1825,No,Virginia,Yes,5,58,Yes,No,Yes,Yes,No,No,No,8,No,No,No,No,No,Yes,Yes,No,No,No,No,No,72,No,189,No,Yes,No,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/James_Monroe_White_House_portrait_1819_%28cropped_3x4_close%29.jpg/1024px-James_Monroe_White_House_portrait_1819_%28cropped_3x4_close%29.jpg
John Quincy,Adams,Democratic-Republican,1825,1829,No,Massachusetts,No,6,57,Yes,Yes,Yes,No,Yes,No,No,4,No,No,Yes,No,No,No,Yes,No,No,No,No,No,67.5,Yes,175,No,Yes,No,No,https://upload.wikimedia.org/wikipedia/commons/d/df/John_Quincy_Adams_1858_%283x4_cropped%29.jpg
Andrew,Jackson,Democratic,1829,1837,No,South Carolina,Yes,7,61,Yes,Yes,Yes,No,No,No,No,8,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,73,No,140,Yes,No,Yes,No,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Andrew_jackson_head_%283x4_cropped%29.jpg/1024px-Andrew_jackson_head_%283x4_cropped%29.jpg
Martin,Van Buren,Democratic,1837,1841,No,New York,No,8,54,Yes,No,Yes,Yes,No,No,Yes,4,No,No,No,No,No,No,Yes,No,No,No,No,No,66,No,164,Yes,Yes,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Martin_Van_Buren_circa_1837_%283x4_cropped%29.jpg/1024px-Martin_Van_Buren_circa_1837_%283x4_cropped%29.jpg
William Henry,Harrison,Whig,1841,1841,No,Virginia,Yes,9,68,Yes,Yes,Yes,No,Yes,Yes,No,0,No,No,No,No,No,No,Yes,No,No,No,No,No,68,No,162,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/William_Henry_Harrison_Portrait_%283x4_cropped%29.jpg/1024px-William_Henry_Harrison_Portrait_%283x4_cropped%29.jpg
John,Tyler,Whig,1841,1845,No,Virginia,Yes,10,51,Yes,Yes,Yes,Yes,No,No,Yes,3,No,No,No,No,No,No,Yes,No,No,No,No,No,68,Yes,160,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/6/6e/John_Tyler_%28cropped_3x4%29_%28cropped%29%282%29.png
James K.,Polk,Democratic,1845,1849,No,North Carolina,Yes,11,49,Yes,Yes,No,Yes,No,No,No,4,No,No,No,No,No,No,Yes,No,No,No,No,No,68,Yes,174,No,No,Yes,No,https://upload.wikimedia.org/wikipedia/commons/8/86/James_K_Polk_%283x4_cropped%29.jpg
Zachary,Taylor,Whig,1849,1850,No,Virginia,Yes,12,64,No,No,No,No,No,Yes,No,1,No,No,No,No,No,No,Yes,No,No,No,No,No,68,No,170,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/c/c5/Zachary_Taylor_restored_%283x4_cropped%29.jpg
Millard,Fillmore,Whig,1850,1853,No,New York,Yes,13,50,Yes,Yes,No,No,No,No,Yes,2,No,No,No,No,No,No,No,Yes,No,No,No,No,69,No,174,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Fillmore_%28cropped%29.jpg/1280px-Fillmore_%28cropped%29.jpg
Franklin,Pierce,Democratic,1853,1857,No,New Hampshire,Yes,14,48,Yes,Yes,Yes,No,No,No,No,4,No,No,No,No,No,No,No,Yes,No,No,No,No,70,Yes,144,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_%28cropped%29%282%29.jpg/1280px-Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_%28cropped%29%282%29.jpg
James,Buchanan,Democratic,1857,1861,No,Pennsylvania,Yes,15,65,Yes,Yes,Yes,No,No,No,No,4,No,No,No,No,No,No,Yes,No,No,No,No,No,72,Yes,198,Yes,Yes,Yes,No,https://upload.wikimedia.org/wikipedia/commons/b/b5/James_Buchanan_%28cropped_3x4%29.jpg
Abraham,Lincoln,Republican,1861,1865,Yes,Kentucky,Yes,16,52,Yes,Yes,No,No,No,Yes,No,4,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,76,No,180,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Abraham_Lincoln_1863_Portrait_%283x4_cropped%29.jpg/1024px-Abraham_Lincoln_1863_Portrait_%283x4_cropped%29.jpg
Andrew,Johnson,Democratic,1865,1869,No,North Carolina,Yes,17,56,Yes,Yes,Yes,Yes,No,No,Yes,3,No,Yes,No,No,No,No,No,Yes,No,No,No,No,70,No,174,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Andrew_Johnson_photo_portrait_head_and_shoulders_%283x4_cropped%29.jpg/1024px-Andrew_Johnson_photo_portrait_head_and_shoulders_%283x4_cropped%29.jpg
Ulysses S.,Grant,Republican,1869,1877,No,Ohio,Yes,18,46,No,No,No,No,No,No,No,8,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,68,Yes,156,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Ulysses_S_Grant_by_Brady_c1870-restored_%283x4_cropped%29.jpg/1024px-Ulysses_S_Grant_by_Brady_c1870-restored_%283x4_cropped%29.jpg
Rutherford B.,Hayes,Republican,1877,1881,No,Ohio,Yes,19,54,Yes,Yes,No,Yes,Yes,No,No,4,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,68.5,Yes,175,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/President_Rutherford_Hayes_1870_-_1880_%283x4_cropped%29.jpg/1024px-President_Rutherford_Hayes_1870_-_1880_%283x4_cropped%29.jpg
James A.,Garfield,Republican,1881,1881,Yes,Ohio,Yes,20,49,Yes,Yes,No,No,No,Yes,No,0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,72,Yes,184,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/James_Abram_Garfield%2C_photo_portrait_seated_%283x4_cropped_b%29.jpg/1024px-James_Abram_Garfield%2C_photo_portrait_seated_%283x4_cropped_b%29.jpg
Chester A. ,Arthur,Republican,1881,1885,No,Vermont,Yes,21,51,No,No,No,No,No,No,Yes,3,No,No,No,No,No,No,No,Yes,No,No,No,Yes,74,Yes,224,Yes,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Chester_A._Arthur_by_Abraham_Bogardus_%28cropped%29_%282%29.jpg/1024px-Chester_A._Arthur_by_Abraham_Bogardus_%28cropped%29_%282%29.jpg
Grover,Cleveland,Democratic,1885,1889,No,New Jersey,No,22,47,No,No,No,Yes,No,No,No,8,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,71,No,260,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Grover_Cleveland_by_Charles_Milton_Bell_color_change_%283x4_cropped_b%29.jpg/1024px-Grover_Cleveland_by_Charles_Milton_Bell_color_change_%283x4_cropped_b%29.jpg
Benjamin,Harrison,Republican,1889,1893,No,Ohio,Yes,23,55,Yes,No,Yes,No,No,No,No,4,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,66,Yes,160,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896_%284x5_cropped%29.jpg/1280px-Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896_%284x5_cropped%29.jpg
Grover,Cleveland,Democratic,1893,1897,No,New Jersey,No,24,55,No,No,No,Yes,No,No,No,8,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,71,No,260,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Grover_Cleveland_by_Charles_Milton_Bell_color_change_%283x4_cropped_b%29.jpg/1024px-Grover_Cleveland_by_Charles_Milton_Bell_color_change_%283x4_cropped_b%29.jpg
William,McKinley,Republican,1897,1901,Yes,Ohio,Yes,25,54,Yes,Yes,No,Yes,No,Yes,No,4,No,No,No,No,No,Yes,No,Yes,No,No,No,No,67,No,199,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/William_McKinley_Portrait_%283x4_cropped%29.jpg/1024px-William_McKinley_Portrait_%283x4_cropped%29.jpg
Theodore,Roosevelt,Republican,1901,1909,No,New York,Yes,26,42,No,No,No,Yes,Yes,No,Yes,7,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,70,Yes,210,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Theodore_Roosevelt_by_the_Pach_Bros_%284x5_cropped%29.jpg/1280px-Theodore_Roosevelt_by_the_Pach_Bros_%284x5_cropped%29.jpg
William Howard,Taft,Republican,1909,1913,No,Ohio,No,27,51,No,No,No,No,Yes,No,No,4,No,No,No,No,No,No,No,Yes,No,No,No,Yes,71.5,Yes,340,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/William_Howard_Taft_by_Pach_Brothers_%283x4_ropped%29.jpg/1024px-William_Howard_Taft_by_Pach_Brothers_%283x4_ropped%29.jpg
Woodrow,Wilson,Democratic,1913,1921,No,Virginia,No,28,56,No,No,No,Yes,Yes,No,No,8,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,71,Yes,170,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/President_Woodrow_Wilson_in_1914%2C_Harris_%26_Ewing_%283x4_cropped_c%29.jpg/1024px-President_Woodrow_Wilson_in_1914%2C_Harris_%26_Ewing_%283x4_cropped_c%29.jpg
Warren G.,Harding,Republican,1921,1923,No,Ohio,No,29,55,Yes,No,Yes,No,No,Yes,No,2,No,No,No,No,No,No,No,Yes,No,No,No,No,72,Yes,173,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Warren_G_Harding-Harris_%26_Ewing_%283x4_cropped%29.jpg/1024px-Warren_G_Harding-Harris_%26_Ewing_%283x4_cropped%29.jpg
Calvin,Coolidge,Republican,1923,1929,No,Vermont,No,30,51,No,No,No,Yes,No,No,Yes,5,No,No,No,No,No,No,No,Yes,No,No,No,No,70,Yes,148,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/President_Calvin_Coolidge%2C_1924_head-and-shoulders_portrait%2C_facing_slightly_right_%282%29.jpeg/1024px-President_Calvin_Coolidge%2C_1924_head-and-shoulders_portrait%2C_facing_slightly_right_%282%29.jpeg
Herbert,Hoover,Republican,1929,1933,No,Iowa,No,31,54,No,No,No,No,No,No,No,4,No,No,No,No,No,No,No,Yes,No,No,No,No,71.5,Yes,187,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/c/cb/Unsuccessful_1932.jpg
Franklin D.,Roosevelt,Democratic,1933,1945,No,New York,No,32,51,No,No,No,Yes,Yes,Yes,No,12,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,74,Yes,188,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/FDR-1944-Campaign-Portrait_%28cropped%29.jpg/1024px-FDR-1944-Campaign-Portrait_%28cropped%29.jpg
Harry S.,Truman,Democratic,1945,1953,No,Missouri,Yes,33,60,Yes,No,Yes,No,No,No,Yes,7,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,69,No,167,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/0/0b/TRUMAN_58-766-06_%28cropped%29.jpg
Dwight D.,Eisenhower,Republican,1953,1961,No,Texas,Yes,34,62,No,No,No,No,No,No,No,8,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,70.5,Yes,171,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959_%28cropped%29%283%29.jpg/1024px-Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959_%28cropped%29%283%29.jpg
John F.,Kennedy,Democratic,1961,1963,Yes,Massachusetts,Yes,35,43,Yes,Yes,Yes,No,Yes,Yes,No,2,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,73,Yes,173,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/John_F._Kennedy%2C_White_House_color_photo_portrait_%283x4%29_%28cropped%29.jpg/1024px-John_F._Kennedy%2C_White_House_color_photo_portrait_%283x4%29_%28cropped%29.jpg
Lyndon B.,Johnson,Democratic,1963,1969,No,Texas,Yes,36,55,Yes,Yes,Yes,No,No,No,Yes,5,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,75.5,Yes,200,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/c/c3/37_Lyndon_Johnson_3x4.jpg
Richard,Nixon,Republican,1969,1974,No,California,Yes,37,56,Yes,Yes,Yes,No,No,No,Yes,5,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,71.5,Yes,175,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Richard_Nixon_presidential_portrait_%281%29.jpg/1024px-Richard_Nixon_presidential_portrait_%281%29.jpg
Gerald,Ford,Republican,1974,1977,No,Nebraska,Yes,38,61,Yes,Yes,No,No,Yes,No,Yes,2,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,72,Yes,190,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Gerald_Ford_presidential_portrait_%28cropped_3%29.jpg/1024px-Gerald_Ford_presidential_portrait_%28cropped_3%29.jpg
Jimmy,Carter,Democratic,1977,1981,No,Georgia,Yes,39,52,No,No,No,Yes,No,No,No,4,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,69.5,Yes,160,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/6/68/Carter_cropped.jpg
Ronald ,Reagan,Republican,1981,1989,No,Illinois,Yes,40,69,No,No,No,Yes,No,No,No,8,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,73,Yes,185,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Official_Portrait_of_President_Reagan_1981-cropped.jpg/1024px-Official_Portrait_of_President_Reagan_1981-cropped.jpg
George H.W.,Bush,Republican,1989,1993,No,Massachusetts,Yes,41,64,Yes,Yes,No,No,Yes,No,Yes,4,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,74,Yes,196,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/George_H._W._Bush_presidential_portrait_%28cropped%29.jpg/400px-George_H._W._Bush_presidential_portrait_%28cropped%29.jpg
Bill ,Clinton,Democratic,1993,2001,No,Arkansas,No,42,46,No,No,No,Yes,Yes,No,No,8,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,74.5,Yes,223,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/1024px-Bill_Clinton.jpg
George W. ,Bush,Republican,2001,2009,No,Connecticut,Yes,43,54,No,No,No,Yes,Yes,No,No,8,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,71.5,Yes,191,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/1024px-George-W-Bush.jpeg
Barack,Obama,Democratic,2009,2017,No,Hawaii,No,44,47,Yes,No,Yes,No,Yes,No,No,8,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,73.5,Yes,180,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/President_Barack_Obama%2C_2012_portrait_crop.jpg/1280px-President_Barack_Obama%2C_2012_portrait_crop.jpg
Donald ,Trump,Republican,2017,2021,No,New York,No,45,70,No,No,No,No,Yes,No,No,4,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,74,Yes,239,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Donald_Trump_official_portrait_%283x4a%29.jpg/1024px-Donald_Trump_official_portrait_%283x4a%29.jpg
Joe,Biden,Democratic,2021,2025,No,Pennsylvania,No,46,78,Yes,No,Yes,No,No,No,Yes,4,No,No,No,No,No,No,No,No,No,Yes,Yes,No,72,Yes,178,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Joe_Biden_presidential_portrait_%28cropped%29.jpg/1024px-Joe_Biden_presidential_portrait_%28cropped%29.jpg
Donald ,Trump,Republican,2025,2029,No,New York,No,47,78,No,No,No,No,Yes,No,No,4,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,74,Yes,239,No,No,No,No,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Donald_Trump_official_portrait_%283x4a%29.jpg/1024px-Donald_Trump_official_portrait_%283x4a%29.jpg